"","char1","char2","pos","neu","neg","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","word_count","char1x","char1y","char2x","char2y"
"1","Anna","Dolly",0.139225099075297,0.772906384852488,0.0872652575957728,0.00730955526199912,0.0141787758696609,0.00361074416556583,0.00651695288419199,0.0147952443857332,0.0166446499339498,0.0331131660061647,0.00722148833113166,0.00933509467195068,0.0182298546895641,11355,0,1,0.9749,-0.2225
"2","Anna","Karenin",0.110647827981985,0.780345682599642,0.109006489418374,0.0102668410092498,0.0165141169063877,0.00619884740181123,0.0139958351494019,0.0120102668410093,0.0243111046539784,0.0286212407380503,0.0134146932054821,0.00770013075693738,0.0189355416727202,20649,0,1,-0.4339,-0.901
"3","Anna","Kitty",0.166043051006083,0.763669630322883,0.0702873186710342,0.00935891436593355,0.0140383715489003,0.00561534861956013,0.0102948058025269,0.0201216658867571,0.0182498830135704,0.0383715489003276,0.00795507721104352,0.0102948058025269,0.0177819372952737,2137,0,1,-0.9749,-0.2225
"4","Anna","Levin",0.192,0.756,0.053,0.00338000965717045,0.0178657653307581,0.00144857556735876,0.00531144374698213,0.0231772090777402,0.0144857556735876,0.0444229840656688,0.00820859488169966,0.00965717044905843,0.0251086431675519,2071,0,1,0.7818,0.6235
"5","Anna","Stiva",0.135085877862595,0.757477735368957,0.107436386768448,0.00763358778625954,0.0146310432569975,0.00699745547073791,0.0127226463104326,0.0184478371501272,0.0190839694656489,0.0362595419847328,0.0120865139949109,0.0139949109414758,0.0248091603053435,1572,0,1,-0.7818,0.6235
"6","Anna","Vronsky",0.12485446685879,0.771816109510086,0.103329423631124,0.00899135446685879,0.0164553314121037,0.00538904899135447,0.0103170028818444,0.0154466858789625,0.022536023054755,0.0314697406340058,0.0108933717579251,0.00804034582132565,0.0180115273775216,34700,0,1,0.4339,-0.901
"7","Dolly","Karenin",0.107,0.736,0.157,0.0144524735964425,0.00889382990550306,0.00722623679822123,0.0200111172873819,0.0138966092273485,0.0333518621456365,0.0261256253474152,0.0194552529182879,0.00722623679822123,0.0222345747637576,1799,0.9749,-0.2225,-0.4339,-0.901
"8","Dolly","Kitty",0.109133115111839,0.773366612111293,0.117551554828151,0.00709219858156028,0.00927441352973268,0.00327332242225859,0.00927441352973268,0.0136388434260775,0.0196399345335516,0.0272776868521549,0.010911074740862,0.00654664484451719,0.0158210583742499,1833,0.9749,-0.2225,-0.9749,-0.2225
"9","Dolly","Levin",0.132315043318456,0.777012864268837,0.0906720924127067,0.00603833027041218,0.017852454712523,0.00262536098713573,0.0068259385665529,0.0189025991073773,0.0152270937253872,0.0309792596482016,0.00787608296140719,0.00918876345497506,0.0168023103176687,3809,0.9749,-0.2225,0.7818,0.6235
"10","Dolly","Stiva",0.107362951807229,0.769289586919105,0.123327237521515,0.0103270223752151,0.0187177280550775,0.00580895008605852,0.01592082616179,0.0197934595524957,0.0256024096385542,0.0309810671256454,0.0137693631669535,0.0096815834767642,0.0217297762478485,4648,0.9749,-0.2225,-0.7818,0.6235
"11","Dolly","Vronsky",0.152,0.775,0.073,0.00860778443113772,0.0138473053892216,0.00336826347305389,0.0112275449101796,0.0145958083832335,0.0202095808383234,0.0288173652694611,0.00973053892215569,0.00748502994011976,0.0127245508982036,2672,0.9749,-0.2225,0.4339,-0.901
"12","Karenin","Stiva",0.122329903642006,0.797205944798302,0.0810444226686265,0.00734933855952964,0.0150253143883717,0.00359300996243671,0.00881920627143557,0.0119222603299036,0.018291687081496,0.0267842560836191,0.00979911807937286,0.00767597582884207,0.0218846970439327,6123,-0.4339,-0.901,-0.7818,0.6235
"13","Karenin","Vronsky",0.0982982982982983,0.778,0.124401401401401,0.00700700700700701,0.0135135135135135,0.005005005005005,0.011011011011011,0.00800800800800801,0.0255255255255255,0.019019019019019,0.0155155155155155,0.00900900900900901,0.0115115115115115,1998,-0.4339,-0.901,0.4339,-0.901
"14","Kitty","Levin",0.151930077207116,0.757352635112454,0.0907172876804297,0.00933199060087278,0.0170527022490769,0.00493454179254784,0.010171198388721,0.0197045988586774,0.0227257468949312,0.0350117489090299,0.0107418596844579,0.0104397448808325,0.0196038939241356,29790,-0.9749,-0.2225,0.7818,0.6235
"15","Kitty","Stiva",0.218,0.782,0,0,0,0,0,0,0,0,0,0,0,17,-0.9749,-0.2225,-0.7818,0.6235
"16","Kitty","Vronsky",0.188031218529708,0.76084390735146,0.0511248741188318,0.00553877139979859,0.0236656596173212,0.00453172205438067,0.00755287009063444,0.027190332326284,0.0191339375629406,0.0518630412890232,0.0105740181268882,0.0100704934541793,0.0347432024169184,1986,-0.9749,-0.2225,0.4339,-0.901
"17","Levin","Karenin",0.081,0.903,0.016,0.00306748466257669,0.00306748466257669,0.00306748466257669,0.00306748466257669,0.00920245398773006,0.0153374233128834,0.0184049079754601,0,0.0122699386503067,0.0153374233128834,326,0.7818,0.6235,-0.4339,-0.901
"18","Levin","Stiva",0.136862990067956,0.791791061160481,0.0714315211709357,0.00914793518034501,0.0154208050182959,0.00444328280188186,0.00852064819654992,0.016257187663356,0.016675378985886,0.0350235232618923,0.00820700470465238,0.0110820700470465,0.0227914270778881,19130,0.7818,0.6235,-0.7818,0.6235
"19","Levin","Vronsky",0.139708208955224,0.79479104477612,0.0656701492537314,0.0111940298507463,0.0171641791044776,0.00522388059701493,0.00746268656716418,0.0141791044776119,0.0194029850746269,0.0373134328358209,0.00671641791044776,0.00746268656716418,0.0223880597014925,1340,0.7818,0.6235,0.4339,-0.901
"20","Stiva","Vronsky",0.163937404580153,0.792212213740458,0.0437786259541985,0.00229007633587786,0.0129770992366412,0.000763358778625954,0.00381679389312977,0.0198473282442748,0.0145038167938931,0.0366412213740458,0.0083969465648855,0.00916030534351145,0.0251908396946565,1310,-0.7818,0.6235,0.4339,-0.901
